Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 0 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 1 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 1 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 2 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 2 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 3 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 3 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 4 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 1 | cursor_position: 4 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 1 | cursor_position: 5 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 5 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 5 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 6 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 6 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 7 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 7 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 8 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 8 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 1 | cursor_position: 9 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 1 | cur_line: 2 | cursor_position: 9 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 1 | cur_line: 2 | cursor_position: 10 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 2 | cur_line: 2 | cursor_position: 10 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 2 | cur_line: 3 | cursor_position: 10 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 2 | cur_line: 3 | cursor_position: 11 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 3 | cur_line: 3 | cursor_position: 11 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 3 | cur_line: 4 | cursor_position: 11 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 3 | cur_line: 4 | cursor_position: 12 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 12 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 12 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 13 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 13 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 14 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 14 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 15 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 15 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 16 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 16 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 4 | cur_line: 4 | cursor_position: 17 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 4 | cur_line: 5 | cursor_position: 17 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 4 | cur_line: 5 | cursor_position: 18 | frame_height: 40
Action:insert_new_line | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 18 | frame_height: 40
Action:top_line:11 | middle_line:17 | bottom_line:17 | scroll_top: 0 | scroll_max: 5 | cur_line: 5 | cursor_position: 18 | frame_height: 40
Action:line_up_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 4 | cursor_position: 12 | frame_height: 40
Action:top_line:10 | middle_line:11 | bottom_line:11 | scroll_top: 0 | scroll_max: 5 | cur_line: 4 | cursor_position: 12 | frame_height: 40
Action:line_up_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 3 | cursor_position: 11 | frame_height: 40
Action:top_line:10 | middle_line:11 | bottom_line:11 | scroll_top: 0 | scroll_max: 5 | cur_line: 3 | cursor_position: 11 | frame_height: 40
Action:line_up_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 2 | cursor_position: 10 | frame_height: 40
Action:top_line:9 | middle_line:10 | bottom_line:10 | scroll_top: 0 | scroll_max: 5 | cur_line: 2 | cursor_position: 10 | frame_height: 40
Action:line_up_cursor | scroll_top: 0 | scroll_max: 5 | cur_line: 1 | cursor_position: 9 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 0 | frame_height: 40
Action:incr_cursor | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 1 | frame_height: 40
Action:incr_cursor_multiline | scroll_top: 0 | scroll_max: 0 | cur_line: 0 | cursor_position: 1 | frame_height: 40
